Available devices  2
Current cuda device  0
TITAN RTX
CNN_1dv(
  (layer_1d): Sequential(
    (0): Linear(in_features=100000, out_features=1000, bias=True)
    (1): ReLU()
    (2): Linear(in_features=1000, out_features=100, bias=True)
    (3): ReLU()
    (4): Linear(in_features=100, out_features=10, bias=True)
    (5): ReLU()
    (6): Linear(in_features=10, out_features=2, bias=True)
  )
)
epoch: 0  loss: 0.6996537446975708
epoch: 10  loss: 0.38823291659355164
epoch: 20  loss: 0.2710937261581421
epoch: 30  loss: 0.22393447160720825
epoch: 40  loss: 0.19417031109333038
epoch: 50  loss: 0.16921129822731018
epoch: 60  loss: 0.1462869495153427
epoch: 70  loss: 0.12609371542930603
epoch: 80  loss: 0.10655246675014496
epoch: 90  loss: 0.09059284627437592
epoch: 100  loss: 0.07792425900697708
epoch: 110  loss: 0.06735391914844513
epoch: 120  loss: 0.05921568349003792
epoch: 130  loss: 0.051170725375413895
epoch: 140  loss: 0.04462753236293793
epoch: 150  loss: 0.03885069862008095
epoch: 160  loss: 0.034060798585414886
epoch: 170  loss: 0.028318578377366066
epoch: 180  loss: 0.024731460958719254
epoch: 190  loss: 0.021432917565107346
epoch: 200  loss: 0.018480448052287102
epoch: 210  loss: 0.016040751710534096
epoch: 220  loss: 0.013808700256049633
epoch: 230  loss: 0.011852792464196682
epoch: 240  loss: 0.010126647539436817
epoch: 250  loss: 0.008759673684835434
epoch: 260  loss: 0.007644061464816332
epoch: 270  loss: 0.006710608024150133
epoch: 280  loss: 0.005924475844949484
epoch: 290  loss: 0.005282098893076181
epoch: 300  loss: 0.004729682579636574
epoch: 310  loss: 0.004259850364178419
epoch: 320  loss: 0.0038600401021540165
epoch: 330  loss: 0.003510977141559124
epoch: 340  loss: 0.0032030863221734762
epoch: 350  loss: 0.0029297128785401583
epoch: 360  loss: 0.002693143207579851
epoch: 370  loss: 0.0024845723528414965
epoch: 380  loss: 0.0022987902630120516
epoch: 390  loss: 0.0021326392889022827
epoch: 400  loss: 0.001980800414457917
epoch: 410  loss: 0.0018431778298690915
epoch: 420  loss: 0.0017183724557980895
epoch: 430  loss: 0.001606379053555429
epoch: 440  loss: 0.0015022853622213006
epoch: 450  loss: 0.0013798478757962584
epoch: 460  loss: 0.0012916926061734557
epoch: 470  loss: 0.0012165737571194768
epoch: 480  loss: 0.0011479397071525455
epoch: 490  loss: 0.0010848144302144647
epoch: 500  loss: 0.0010265177115797997
epoch: 510  loss: 0.000966485240496695
epoch: 520  loss: 0.0009168492397293448
epoch: 530  loss: 0.0008713268325664103
epoch: 540  loss: 0.0008290345431305468
epoch: 550  loss: 0.0007896040915511549
epoch: 560  loss: 0.0007530453149229288
epoch: 570  loss: 0.0007191900513134897
epoch: 580  loss: 0.000687398889567703
epoch: 590  loss: 0.0006575139705091715
epoch: 600  loss: 0.00062946806428954
epoch: 610  loss: 0.0006031345692463219
epoch: 620  loss: 0.0005775934550911188
epoch: 630  loss: 0.0005519894766621292
epoch: 640  loss: 0.0005291305133141577
epoch: 650  loss: 0.0005077426903881133
epoch: 660  loss: 0.00048700542538426816
epoch: 670  loss: 0.0004677328688558191
epoch: 680  loss: 0.0004502135852817446
epoch: 690  loss: 0.0004338173021096736
epoch: 700  loss: 0.0004181221593171358
epoch: 710  loss: 0.00040310434997081757
epoch: 720  loss: 0.00038895412581041455
epoch: 730  loss: 0.0003755874349735677
epoch: 740  loss: 0.00036279423511587083
epoch: 750  loss: 0.0003508784284349531
epoch: 760  loss: 0.0003395680687390268
epoch: 770  loss: 0.00032866623951122165
epoch: 780  loss: 0.00031839351868256927
epoch: 790  loss: 0.00030851192423142493
epoch: 800  loss: 0.00029907136922702193
epoch: 810  loss: 0.0002900083491113037
epoch: 820  loss: 0.00028130022110417485
epoch: 830  loss: 0.0002728933759499341
epoch: 840  loss: 0.00026490772143006325
epoch: 850  loss: 0.0002573216625023633
epoch: 860  loss: 0.0002499947149772197
epoch: 870  loss: 0.00024303157988470048
epoch: 880  loss: 0.00023635628167539835
epoch: 890  loss: 0.00022998257190920413
epoch: 900  loss: 0.00022379486472345889
epoch: 910  loss: 0.00021777619258500636
epoch: 920  loss: 0.00021203466167207807
